ID;Ano;Sexo;Flex_Rep;Flex_Nota
1;1;M;0;0
2;1;M;1;4,54
3;1;M;2;6,54
4;1;M;3;8,54
5;1;M;4;10,54
6;1;M;5;10,94
7;1;M;6;11,34
8;1;M;7;11,74
9;1;M;8;12,14
10;1;M;9;12,54
11;1;M;10;12,94
12;1;M;11;13,34
13;1;M;12;13,79
14;1;M;13;14,24
15;1;M;14;14,71
16;1;M;15;15,22
17;1;M;16;15,76
18;1;M;17;16,33
19;1;M;18;16,94
20;1;M;19;17,59
21;1;M;20;18,27
22;1;M;21;19,01
23;1;M;22;19,79
24;1;M;23;20
25;1;F;0;0
26;1;F;1;5
27;1;F;2;10
28;1;F;3;13
29;1;F;4;16
30;1;F;5;16,8
31;1;F;6;17,6
32;1;F;7;18,5
33;1;F;8;19,6
34;1;F;9;20
35;2;M;0;0
36;2;M;1;3,11
37;2;M;2;5,11
38;2;M;3;7,11
39;2;M;4;9,11
40;2;M;5;9,51
41;2;M;6;9,91
42;2;M;7;10,31
43;2;M;8;10,71
44;2;M;9;11,11
45;2;M;10;11,51
46;2;M;11;11,91
47;2;M;12;12,36
48;2;M;13;12,81
49;2;M;14;13,28
50;2;M;15;13,79
51;2;M;16;14,33
52;2;M;17;14,9
53;2;M;18;15,51
54;2;M;19;16,16
55;2;M;20;16,84
56;2;M;21;17,58
57;2;M;22;18,36
58;2;M;23;19,21
59;2;M;24;20
60;2;F;0;0
61;2;F;1;5
62;2;F;2;7
63;2;F;3;10
64;2;F;4;13
65;2;F;5;13,8
66;2;F;6;14,6
67;2;F;7;15,5
68;2;F;8;16,6
69;2;F;9;17,7
70;2;F;10;19
71;2;F;11;20
72;3;M;0;0
73;3;M;1;2,57
74;3;M;2;4,57
75;3;M;3;6,57
76;3;M;4;8,57
77;3;M;5;8,97
78;3;M;6;9,37
79;3;M;7;9,77
80;3;M;8;10,17
81;3;M;9;10,57
82;3;M;10;10,97
83;3;M;11;11,37
84;3;M;12;11,82
85;3;M;13;12,27
86;3;M;14;12,74
87;3;M;15;13,25
88;3;M;16;13,79
89;3;M;17;14,36
90;3;M;18;14,97
91;3;M;19;15,62
92;3;M;20;16,3
93;3;M;21;17,04
94;3;M;22;17,82
95;3;M;23;18,67
96;3;M;24;19,57
97;3;M;25;20
98;3;M;26;20
99;3;M;27;20
100;3;M;28;20
101;3;M;29;20
102;3;M;30;20
103;3;M;31;20
104;3;M;32;20
105;3;M;33;20
106;3;M;34;20
107;3;F;0;0
108;3;F;1;2
109;3;F;2;4
110;3;F;3;7
111;3;F;4;10
112;3;F;5;10,8
113;3;F;6;11,6
114;3;F;7;12,5
115;3;F;8;13,6
116;3;F;9;14,7
117;3;F;10;16
118;3;F;11;17,2
119;3;F;12;18,6
120;3;F;13;20
121;4;M;0;0
122;4;M;1;2
123;4;M;2;4
124;4;M;3;6
125;4;M;4;8
126;4;M;5;8,4
127;4;M;6;8,8
128;4;M;7;9,2
129;4;M;8;9,4
130;4;M;9;9,6
131;4;M;10;10
132;4;M;11;10,4
133;4;M;12;10,8
134;4;M;13;11,25
135;4;M;14;11,7
136;4;M;15;12,17
137;4;M;16;12,68
138;4;M;17;13,22
139;4;M;18;13,79
140;4;M;19;14,4
141;4;M;20;15,05
142;4;M;21;15,73
143;4;M;22;16,47
144;4;M;23;17,25
145;4;M;24;18,1
146;4;M;25;19
147;4;M;26;20
148;4;F;0;0
149;4;F;0;0
150;4;F;1;1,2
151;4;F;2;3,2
152;4;F;3;6,2
153;4;F;4;9,2
154;4;F;5;10
155;4;F;6;10,8
156;4;F;7;11,7
157;4;F;8;12,8
158;4;F;9;13,9
159;4;F;10;15,2
160;4;F;11;16,4
161;4;F;12;17,8
162;4;F;13;19,2
163;4;F;14;20
