ID;Ano;Sexo;Cooper_Dist;Cooper_Nota
1;1;M;2289;0
2;1;M;2290;0,78
3;1;M;2291;0,88
4;1;M;2292;0,98
5;1;M;2293;1,08
6;1;M;2294;1,18
7;1;M;2295;1,28
8;1;M;2296;1,38
9;1;M;2297;1,48
10;1;M;2298;1,58
11;1;M;2299;1,68
12;1;M;2300;1,78
13;1;M;2301;1,88
14;1;M;2302;1,93
15;1;M;2303;1,98
16;1;M;2304;2,03
17;1;M;2305;2,08
18;1;M;2306;2,13
19;1;M;2307;2,18
20;1;M;2308;2,23
21;1;M;2309;2,28
22;1;M;2310;2,33
23;1;M;2311;2,38
24;1;M;2312;2,43
25;1;M;2313;2,48
26;1;M;2314;2,58
27;1;M;2315;2,68
28;1;M;2316;2,78
29;1;M;2317;2,88
30;1;M;2318;2,98
31;1;M;2319;3,08
32;1;M;2320;3,18
33;1;M;2321;3,23
34;1;M;2322;3,28
35;1;M;2323;3,33
36;1;M;2324;3,38
37;1;M;2325;3,43
38;1;M;2326;3,48
39;1;M;2327;3,58
40;1;M;2328;3,68
41;1;M;2329;3,78
42;1;M;2330;3,88
43;1;M;2331;3,98
44;1;M;2332;4,08
45;1;M;2333;4,18
46;1;M;2334;4,28
47;1;M;2335;4,33
48;1;M;2336;4,38
49;1;M;2337;4,43
50;1;M;2338;4,48
51;1;M;2339;4,58
52;1;M;2340;4,68
53;1;M;2341;4,78
54;1;M;2342;4,88
55;1;M;2343;4,98
56;1;M;2344;5,08
57;1;M;2345;5,18
58;1;M;2346;5,23
59;1;M;2347;5,28
60;1;M;2348;5,33
61;1;M;2349;5,38
62;1;M;2350;5,43
63;1;M;2351;5,48
64;1;M;2352;5,58
65;1;M;2353;5,68
66;1;M;2354;5,78
67;1;M;2355;5,88
68;1;M;2356;5,98
69;1;M;2357;6,08
70;1;M;2358;6,18
71;1;M;2359;6,23
72;1;M;2360;6,28
73;1;M;2361;6,33
74;1;M;2362;6,38
75;1;M;2363;6,48
76;1;M;2364;6,58
77;1;M;2365;6,68
78;1;M;2366;6,78
79;1;M;2367;6,88
80;1;M;2368;6,98
81;1;M;2369;7,03
82;1;M;2370;7,08
83;1;M;2371;7,18
84;1;M;2372;7,28
85;1;M;2373;7,38
86;1;M;2374;7,43
87;1;M;2375;7,48
88;1;M;2376;7,53
89;1;M;2377;7,58
90;1;M;2378;7,68
91;1;M;2379;7,78
92;1;M;2380;7,88
93;1;M;2381;7,93
94;1;M;2382;7,98
95;1;M;2383;8,08
96;1;M;2384;8,18
97;1;M;2385;8,28
98;1;M;2386;8,33
99;1;M;2387;8,38
100;1;M;2388;8,48
101;1;M;2389;8,58
102;1;M;2390;8,68
103;1;M;2391;8,73
104;1;M;2392;8,78
105;1;M;2393;8,88
106;1;M;2394;8,98
107;1;M;2395;9,08
108;1;M;2396;9,13
109;1;M;2397;9,18
110;1;M;2398;9,28
111;1;M;2399;9,38
112;1;M;2400;9,48
113;1;M;2401;9,48
114;1;M;2402;9,49
115;1;M;2403;9,49
116;1;M;2404;9,5
117;1;M;2405;9,5
118;1;M;2406;9,51
119;1;M;2407;9,51
120;1;M;2408;9,52
121;1;M;2409;9,52
122;1;M;2410;9,53
123;1;M;2411;9,53
124;1;M;2412;9,53
125;1;M;2413;9,54
126;1;M;2414;9,54
127;1;M;2415;9,54
128;1;M;2416;9,55
129;1;M;2417;9,55
