id;Sexo;Segundos;Nota
1;M;1492;20
2;M;1493;20
3;M;1494;20
4;M;1495;20
5;M;1496;20
6;M;1497;20
7;M;1498;20
8;M;1499;20
9;M;1500;20
10;M;1501;20
11;M;1502;20
12;M;1503;20
13;M;1504;20
14;M;1505;20
15;M;1506;20
16;M;1507;20
17;M;1508;20
18;M;1509;20
19;M;1510;20
20;M;1511;20
21;M;1512;20
22;M;1513;20
23;M;1514;20
24;M;1515;20
25;M;1516;20
26;M;1517;20
27;M;1518;20
28;M;1519;20
29;M;1520;20
30;M;1521;20
31;M;1522;20
32;M;1523;20
33;M;1524;20
34;M;1525;20
35;M;1526;20
36;M;1527;20
37;M;1528;20
38;M;1529;20
39;M;1530;20
40;M;1531;20
41;M;1532;20
42;M;1533;20
43;M;1534;20
44;M;1535;20
45;M;1536;20
46;M;1537;20
47;M;1538;20
48;M;1539;20
49;M;1540;20
50;M;1541;20
51;M;1542;20
52;M;1543;20
53;M;1544;20
54;M;1545;20
55;M;1546;20
56;M;1547;20
57;M;1548;20
58;M;1549;20
59;M;1550;20
60;M;1551;20
61;M;1552;20
62;M;1553;20
63;M;1554;20
64;M;1555;20
65;M;1556;20
66;M;1557;20
67;M;1558;20
68;M;1559;20
69;M;1560;20
70;M;1561;20
71;M;1562;20
72;M;1563;20
73;M;1564;20
74;M;1565;20
75;M;1566;20
76;M;1567;20
77;M;1568;20
78;M;1569;20
79;M;1570;20
80;M;1571;20
81;M;1572;20
82;M;1573;20
83;M;1574;20
84;M;1575;20
85;M;1576;20
86;M;1577;20
87;M;1578;20
88;M;1579;20
89;M;1580;20
90;M;1581;20
91;M;1582;20
92;M;1583;20
93;M;1584;20
94;M;1585;20
95;M;1586;20
96;M;1587;20
97;M;1588;20
98;M;1589;20
99;M;1590;20
100;M;1591;19,98
101;M;1592;19,97
102;M;1593;19,95
103;M;1594;19,93
104;M;1595;19,92
105;M;1596;19,9
106;M;1597;19,88
107;M;1598;19,87
108;M;1599;19,85
109;M;1600;19,83
110;M;1601;19,82
111;M;1602;19,8
112;M;1603;19,78
113;M;1604;19,77
114;M;1605;19,75
115;M;1606;19,73
116;M;1607;19,72
117;M;1608;19,7
118;M;1609;19,68
119;M;1610;19,67
120;M;1611;19,65
121;M;1612;19,63
122;M;1613;19,62
123;M;1614;19,6
124;M;1615;19,58
125;M;1616;19,57
126;M;1617;19,55
127;M;1618;19,53
128;M;1619;19,52
129;M;1620;19,5
130;M;1621;19,48
131;M;1622;19,47
132;M;1623;19,45
133;M;1624;19,43
134;M;1625;19,42
135;M;1626;19,4
136;M;1627;19,38
137;M;1628;19,37
138;M;1629;19,35
139;M;1630;19,33
140;M;1631;19,32
141;M;1632;19,3
142;M;1633;19,28
143;M;1634;19,27
144;M;1635;19,25
145;M;1636;19,23
146;M;1637;19,22
147;M;1638;19,2
148;M;1639;19,18
149;M;1640;19,17
150;M;1641;19,15
151;M;1642;19,13
152;M;1643;19,12
153;M;1644;19,1
154;M;1645;19,08
