ID;Ano;Sexo;Abd_Rep;Abd_Nota
1;1;M;19;0
2;1;M;20;1,6
3;1;M;21;1,9
4;1;M;22;2,2
5;1;M;23;2,5
6;1;M;24;2,8
7;1;M;25;3,1
8;1;M;26;3,4
9;1;M;27;3,7
10;1;M;28;4
11;1;M;29;4,3
12;1;M;30;4,6
13;1;M;31;4,9
14;1;M;32;5,2
15;1;M;33;5,5
16;1;M;34;5,8
17;1;M;35;6,1
18;1;M;36;6,4
19;1;M;37;6,7
20;1;M;38;7
21;1;M;39;7,3
22;1;M;40;7,6
23;1;M;41;7,9
24;1;M;42;8,2
25;1;M;43;8,5
26;1;M;44;8,8
27;1;M;45;9,1
28;1;M;46;9,4
29;1;M;47;9,7
30;1;M;48;10
31;1;M;49;10,3
32;1;M;50;10,6
33;1;M;51;10,9
34;1;M;52;11,2
35;1;M;53;11,4
36;1;M;54;11,6
37;1;M;55;11,8
38;1;M;56;12
39;1;M;57;12,2
40;1;M;58;12,4
41;1;M;59;12,6
42;1;M;60;12,8
43;1;M;61;13
44;1;M;62;13,2
45;1;M;63;13,4
46;1;M;64;13,6
47;1;M;65;13,8
48;1;M;66;14
49;1;M;67;14,2
50;1;M;68;14,4
51;1;M;69;14,6
52;1;M;70;14,8
53;1;M;71;15
54;1;M;72;15,2
55;1;M;73;15,4
56;1;M;74;15,6
57;1;M;75;15,8
58;1;M;76;16
59;1;M;77;16,2
60;1;M;78;16,4
61;1;M;79;16,6
62;1;M;80;16,8
63;1;M;81;17
64;1;M;82;17,2
65;1;M;83;17,4
66;1;M;84;17,6
67;1;M;85;17,8
68;1;M;86;18
69;1;M;87;18,2
70;1;M;88;18,4
71;1;M;89;18,6
72;1;M;90;18,8
73;1;M;91;19
74;1;M;92;19,2
75;1;M;93;19,4
76;1;M;94;19,6
77;1;M;95;19,8
78;1;M;96;20
79;1;F;19;0
80;1;F;20;1,6
81;1;F;21;1,9
82;1;F;22;2,2
83;1;F;23;2,5
84;1;F;24;2,8
85;1;F;25;3,1
86;1;F;26;3,4
87;1;F;27;3,7
88;1;F;28;4
89;1;F;29;4,3
90;1;F;30;4,6
91;1;F;31;4,9
92;1;F;32;5,2
93;1;F;33;5,5
94;1;F;34;5,8
95;1;F;35;6,1
96;1;F;36;6,4
97;1;F;37;6,7
98;1;F;38;7
99;1;F;39;7,3
100;1;F;40;7,6
101;1;F;41;7,9
102;1;F;42;8,2
103;1;F;43;8,5
104;1;F;44;8,8
105;1;F;45;9,1
106;1;F;46;9,4
107;1;F;47;9,7
108;1;F;48;10
109;1;F;49;10,3
110;1;F;50;10,6
111;1;F;51;10,9
112;1;F;52;11,2
113;1;F;53;11,4
114;1;F;54;11,6
115;1;F;55;11,8
116;1;F;56;12
117;1;F;57;12,2
118;1;F;58;12,4
