id;Sexo;Tempo;Segundos;Nota
1;M;00:09:27;567;20
2;M;00:09:28;568;20
3;M;00:09:29;569;20
4;M;00:09:30;570;20
5;M;00:09:31;571;20
6;M;00:09:32;572;20
7;M;00:09:33;573;20
8;M;00:09:34;574;20
9;M;00:09:35;575;20
10;M;00:09:36;576;20
11;M;00:09:37;577;20
12;M;00:09:38;578;20
13;M;00:09:39;579;20
14;M;00:09:40;580;20
15;M;00:09:41;581;20
16;M;00:09:42;582;20
17;M;00:09:43;583;20
18;M;00:09:44;584;20
19;M;00:09:45;585;20
20;M;00:09:46;586;20
21;M;00:09:47;587;20
22;M;00:09:48;588;20
23;M;00:09:49;589;20
24;M;00:09:50;590;20
25;M;00:09:51;591;20
26;M;00:09:52;592;20
27;M;00:09:53;593;20
28;M;00:09:54;594;20
29;M;00:09:55;595;20
30;M;00:09:56;596;20
31;M;00:09:57;597;20
32;M;00:09:58;598;20
33;M;00:09:59;599;20
34;M;00:10:00;600;20
35;M;00:10:01;601;19,97
36;M;00:10:02;602;19,93
37;M;00:10:03;603;19,86
38;M;00:10:04;604;19,79
39;M;00:10:05;605;19,72
40;M;00:10:06;606;19,65
41;M;00:10:07;607;19,58
42;M;00:10:08;608;19,51
43;M;00:10:09;609;19,44
44;M;00:10:10;610;19,37
45;M;00:10:11;611;19,3
46;M;00:10:12;612;19,23
47;M;00:10:13;613;19,16
48;M;00:10:14;614;19,1
49;M;00:10:15;615;19,03
50;M;00:10:16;616;18,96
51;M;00:10:17;617;18,86
52;M;00:10:18;618;18,8
53;M;00:10:19;619;18,73
54;M;00:10:20;620;18,67
55;M;00:10:21;621;18,6
56;M;00:10:22;622;18,54
57;M;00:10:23;623;18,47
58;M;00:10:24;624;18,41
59;M;00:10:25;625;18,34
60;M;00:10:26;626;18,28
61;M;00:10:27;627;18,19
62;M;00:10:28;628;18,09
63;M;00:10:29;629;18
64;M;00:10:30;630;17,91
65;M;00:10:31;631;17,82
66;M;00:10:32;632;17,72
67;M;00:10:33;633;17,63
68;M;00:10:34;634;17,57
69;M;00:10:35;635;17,51
70;M;00:10:36;636;17,45
71;M;00:10:37;637;17,4
72;M;00:10:38;638;17,34
73;M;00:10:39;639;17,28
74;M;00:10:40;640;17,22
75;M;00:10:41;641;17,16
76;M;00:10:42;642;17,1
77;M;00:10:43;643;17,05
78;M;00:10:44;644;16,99
79;M;00:10:45;645;16,93
80;M;00:10:46;646;16,88
81;M;00:10:47;647;16,82
82;M;00:10:48;648;16,77
83;M;00:10:49;649;16,71
84;M;00:10:50;650;16,65
85;M;00:10:51;651;16,6
86;M;00:10:52;652;16,54
87;M;00:10:53;653;16,49
88;M;00:10:54;654;16,44
89;M;00:10:55;655;16,38
90;M;00:10:56;656;16,33
91;M;00:10:57;657;16,27
92;M;00:10:58;658;16,22
93;M;00:10:59;659;16,17
94;M;00:11:00;660;16,12
95;M;00:11:01;661;16,06
96;M;00:11:02;662;16,01
97;M;00:11:03;663;15,96
98;M;00:11:04;664;15,91
99;M;00:11:05;665;15,86
100;M;00:11:06;666;15,81
101;M;00:11:07;667;15,75
102;M;00:11:08;668;15,7
103;M;00:11:09;669;15,65
104;M;00:11:10;670;15,6
105;M;00:11:11;671;15,55
106;M;00:11:12;672;15,5
107;M;00:11:13;673;15,45
108;M;00:11:14;674;15,4
109;M;00:11:15;675;15,36
110;M;00:11:16;676;15,31
111;M;00:11:17;677;15,26
112;M;00:11:18;678;15,21
113;M;00:11:19;679;15,16
114;M;00:11:20;680;15,11
115;M;00:11:21;681;15,07
116;M;00:11:22;682;15,02
117;M;00:11:23;683;14,97
118;M;00:11:24;684;14,93
119;M;00:11:25;685;14,88
120;M;00:11:26;686;14,83
121;M;00:11:27;687;14,79
122;M;00:11:28;688;14,74
123;M;00:11:29;689;14,69
124;M;00:11:30;690;14,65
125;M;00:11:31;691;14,6
126;M;00:11:32;692;14,56
127;M;00:11:33;693;14,51
128;M;00:11:34;694;14,47
129;M;00:11:35;695;14,42
130;M;00:11:36;696;14,38
131;M;00:11:37;697;14,33
132;M;00:11:38;698;14,29
133;M;00:11:39;699;14,25
134;M;00:11:40;700;14,2
135;M;00:11:41;701;14,16
136;M;00:11:42;702;14,12
137;M;00:11:43;703;14,07
138;M;00:11:44;704;14,03
139;M;00:11:45;705;13,99
140;M;00:11:46;706;13,95
141;M;00:11:47;707;13,9
142;M;00:11:48;708;13,86
143;M;00:11:49;709;13,82
144;M;00:11:50;710;13,78
145;M;00:11:51;711;13,74
146;M;00:11:52;712;13,7
147;M;00:11:53;713;13,65
148;M;00:11:54;714;13,63
149;M;00:11:55;715;13,61
